Company Name,Ticker,Market Cap (mil),Optionable,Div. Yield %,Next EPS Report Date  (yyyymmdd)
"Cirrus Logic","CRUS","3716.98","YES","0","20231102"
"CorVel","CRVL","3347.19","YES","0","20240130"
"CrowdStrike","CRWD","42587.88","YES","0","20231205"
"Cisco Systems","CSCO","211623.02","YES","2.99","20231115"
"CoStar Group","CSGP","30084.13","YES","0","20240220"
"Carlisle Companies","CSL","12457.6","YES","1.33","20240206"
"Constellium","CSTM","2272.75","YES","0","20240228"
"CSW Industrials","CSWI","2719.5","YES",".43","20231102"
"CSX","CSX","58434.2","YES","1.49","20240124"
"Cintas","CTAS","51843.75","YES","1.06","20231220"
"Catalent","CTLT","5801.15","YES","0","20231115"
"Coterra Energy","CTRA","20801.51","YES","2.9","20231106"
"CareTrust REIT","CTRE","2187.48","YES","5.09","20231114"
"Cognizant Technology Solutions","CTSH","32807.49","YES","1.79","20240201"
"Corteva","CTVA","33884.14","YES","1.34","20231108"
"CubeSmart","CUBE","7632.25","YES","5.77","20231102"
"Cousins Properties","CUZ","2725.86","YES","7.13","20240208"
"CVB Financial","CVBF","2225.33","YES","5.01","20240124"
"Cavco Industries","CVCO","2153.76","YES","0","20231102"
"Cenovus Energy","CVE","35880.47","YES","2.18","20231102"
"CVR Energy","CVI","3370.77","YES","5.96","20240220"
"CommVault Systems","CVLT","2872.48","YES","0","20240130"
"Carvana","CVNA","4923.65","YES","0","20231102"
"CVS Health","CVS","88276.74","YES","3.52","20240214"
"Chevron","CVX","268845.97","YES","4.2","20240126"
"CurtissWright","CW","7676.41","YES",".4","20240220"
"Clearwater Analytics Holdings","CWAN","4337.63","YES","0","20240220"
"Clearway Energy","CWEN","4469.9","YES","7.04","20231102"
"Casella Waste Systems","CWST","4322.25","YES","0","20240215"
"California Water Service Group","CWT","2861.89","YES","2.1","20240306"
"Cemex","CX","8895.5","YES","0","20240212"
"Sprinklr","CXM","3708.2","YES","0","20231205"
"Crane NXT, Co.","CXT","2997.17","YES","1.06","20231106"
"CyberArk Software","CYBR","6635.55","YES","0","20231102"
"Cytokinetics","CYTK","3369.53","YES","0","20231102"
"Caesars Entertainment","CZR","8514.1","YES","0","20240220"
"Dominion Energy","D","33655.01","YES","6.64","20231103"
"Delta Air Lines","DAL","20018.15","YES","1.29","20240112"
"Darling Ingredients","DAR","6969.76","YES","0","20231107"
"DoorDash","DASH","29851.3","YES","0","20240215"
"Endava","DAVA","2827.49","YES","0","20231121"
"Deutsche Bank","DB","22858.51","YES","0","20240201"
"DigitalBridge Group","DBRG","2374.55","YES",".27","20240223"
"Dropbox","DBX","9098.39","YES","0","20231102"
"Donaldson","DCI","6971.17","YES","1.73","20231129"
"DuPont de Nemours","DD","30720.36","YES","2.15","20240206"
"Datadog","DDOG","26032.46","YES","0","20231107"
"Deere & Company","DE","106695.58","YES","1.46","20231122"
"Deckers Outdoor","DECK","15523.34","YES","0","20240201"
"Dell Technologies","DELL","49677.71","YES","2.16","20231130"
"Denbury","DEN","4561.27","YES","0","20231102"
"Discover Financial Services","DFS","20652.29","YES","3.39","20240117"
"Dollar General","DG","25538.29","YES","2.03","20231207"
"Quest Diagnostics","DGX","14901.01","YES","2.14","20240201"
